"Foot","Lines","count"
"1","1:5",3
"1","6:10",3
"1","11:15",5
"1","16:20",5
"1","21:25",4
"1","26:30",4
"1","31:35",2
"1","36:40",2
"1","41:45",2
"1","46:50",1
"1","51:55",2
"1","56:60",4
"1","61:65",3
"1","66:70",2
"1","71:75",4
"2","1:5",1
"2","6:10",4
"2","11:15",0
"2","16:20",3
"2","21:25",3
"2","26:30",3
"2","31:35",5
"2","36:40",2
"2","41:45",2
"2","46:50",4
"2","51:55",3
"2","56:60",1
"2","61:65",2
"2","66:70",3
"2","71:75",2
"3","1:5",1
"3","6:10",2
"3","11:15",4
"3","16:20",2
"3","21:25",5
"3","26:30",2
"3","31:35",1
"3","36:40",2
"3","41:45",2
"3","46:50",2
"3","51:55",0
"3","56:60",2
"3","61:65",2
"3","66:70",0
"3","71:75",1
"4","1:5",2
"4","6:10",2
"4","11:15",1
"4","16:20",0
"4","21:25",3
"4","26:30",1
"4","31:35",2
"4","36:40",0
"4","41:45",2
"4","46:50",1
"4","51:55",1
"4","56:60",2
"4","61:65",1
"4","66:70",1
"4","71:75",0
