"class","trade","sober","drinks","wage","n"
"A","papercutter",1,1,24,2
"A","cabmen",1,10,18.416666667,11
"A","goldbeater",2,1,21.5,3
"A","stablemen",1,5,21.166666667,6
"A","millworker",2,0,19,2
"A","porter",9,8,20.5,17
"A","warehouse",8,2,24.333333333,10
"A","maltmen",3,5,23,8
"A","chimneysweep",0,7,17.333333333,7
"A","carter",12,23,22.166666667,35
"A","barman",1,0,23.666666667,1
"A","brassfounder",2,4,21.5,6
"A","shoemaker",11,9,22.833333333,20
"A","scavenger",2,2,22.833333333,4
"A","stonecutter",1,1,23,2
"A","cellarman",1,2,24.166666667,3
"A","french polisher",1,0,13.5,1
"A","wagon examiner",1,0,20,1
"A","surfaceman",4,0,18.5,4
"A","gardener",2,0,20.5,2
"A","platelayer",0,2,18,2
"A","hammerman",2,1,20,3
"A","factory worker",1,3,12,4
"A","billposter",1,0,18,1
"A","general labourer",71,85,18.5,156
"B","sadler",0,3,25,3
"B","turnroom",1,0,25,1
"B","shop hand",4,3,25,7
"B","typecaster",4,5,26,9
"B","clerk",2,1,27,3
"B","ironmoulder",3,5,28.416666667,8
"B","coachbuilder",3,1,28,4
"B","wellsinker",1,0,30,1
"B","tailors",4,15,27,19
"B","coopers",8,4,28.5,12
"B","linesman",0,2,26,2
"B","timekeeper",1,0,30,1
"B","jeweller",2,0,28,2
"B","butcher",2,1,30,3
"B","painter",14,23,25.5,37
"B","pipelayer",0,1,27.666666667,1
"B","sailor",3,1,30,4
"B","baker",11,10,26.166666667,21
"B","bottler",1,0,27.25,1
"B","railway porter",7,2,28,9
"B","gasworker",5,0,27,5
"B","tramdriver",0,1,27,1
"C","letterpresser",1,0,34,1
"C","lithographer",2,2,36.5,4
"C","bookbinder",3,6,30.25,9
"C","upholsterer",1,2,36,3
"C","ironfounder",5,4,32.583333333,9
"C","wireworker",0,1,32.5,1
"C","plasterer",1,0,37,1
"C","cabinetmaker",2,1,33.5,3
"C","joiner",3,9,30.833333333,12
"C","stream crane",1,1,30.833333333,2
"C","mason",5,17,34.083333333,22
"C","blacksmith",1,5,38.833333333,6
"C","engineer",6,2,30.166666667,8
"C","printer",13,16,31.083333333,29
"C","stoker",2,1,31.583333333,3
"C","plumber",3,5,34.5,8
"C","rivetter",1,0,40,1
"C","tinsmith",2,4,31.583333333,6
"C","slater",3,2,36.083333333,5
"C","chemist",1,0,36.5,1
"C","picture framer",0,2,31.083333333,2
"C","postman",0,2,32,2
"C","glassmaker",1,0,40,1
