"Author","Year","Name","Longitude"
"Langren",1628,"Langren",17.6907
"Langren",1628,"Mercator",19.6701
"Langren",1628,"Schonerus",20.7835
"Langren",1628,"Orontius",24.2474
"Langren",1628,"Regiomontanus",25.5464
"Langren",1628,"Clavius",26.5361
"Langren",1628,"Ptolomeus",27.7732
"Langren",1632,"Algunos1",17.6744
"Langren",1632,"Maginus",18.206
"Langren",1632,"Ortelius",19.1694
"Langren",1632,"Bertius",19.402
"Langren",1632,"Mercator",19.701
"Langren",1632,"Algunos2",20.3654
"Langren",1632,"Schonerus",20.7641
"Langren",1632,"Brahe",21.495
"Langren",1632,"Regiomontanus",25.5482
"Langren",1632,"Ptolomeus",26.2126
"Langren",1632,"Orontius",26.2126
"Langren",1632,"Clavius",26.711
"Langren",1632,"Apianus",27.3754
"Langren",1632,"Leonitrus",27.7076
"Langren",1632,"Origanus",27.7076
"Langren",1633,"Algunos1",17.3727
"Langren",1633,"Maginus",17.8909
"Langren",1633,"Ortelius",18.7909
"Langren",1633,"Bertius",19.0636
"Langren",1633,"Mercator",19.4182
"Langren",1633,"Algunos2",20.1545
"Langren",1633,"Schonerus",20.6727
"Langren",1633,"Brahe",21.3273
"Langren",1633,"Regiomontanus",25.1182
"Langren",1633,"Ptolomeus",26.0182
"Langren",1633,"Orontius",26.0182
"Langren",1633,"Clavius",26.5364
"Langren",1633,"Apianus",27.0545
"Langren",1633,"Leonitrus",27.4636
"Langren",1633,"Origanus",27.4636
"Langren",1644,"Iansonius",17.6197
"Langren",1644,"Mercator",19.6478
"Langren",1644,"Schonerus",20.7514
"Langren",1644,"Lantsbergius",21.1326
"Langren",1644,"Brahe",21.4135
"Langren",1644,"Regiomontanus",25.467
"Langren",1644,"Orontius",26.0473
"Langren",1644,"Clavius",26.5083
"Langren",1644,"Ptolomeus",27.6514
"Langren",1644,"Argelius",28.0538
"Langren",1644,"Maginus",29.7988
"Langren",1644,"Origanus",30.0597
"Lelewel",1851,"Iansonius",17.432
"Lelewel",1851,"Mercator",19.9006
"Lelewel",1851,"Schonerus",20.6691
"Lelewel",1851,"Lantsbergius",21.0527
"Lelewel",1851,"Brahe",21.4362
"Lelewel",1851,"Regiomontanus",25.6093
"Lelewel",1851,"Orontius",25.9943
"Lelewel",1851,"Clavius",26.3778
"Lelewel",1851,"Ptolomeus",27.7841
"Lelewel",1851,"Argelius",28.1661
"Lelewel",1851,"Maginus",29.8295
"Lelewel",1851,"Origanus",30.1689
