"Cult","Date","HeadWt","VitC"
"c39","d16",2.5,51
"c39","d16",2.2,55
"c39","d16",3.1,45
"c39","d16",4.3,42
"c39","d16",2.5,53
"c39","d16",4.3,50
"c39","d16",3.8,50
"c39","d16",4.3,52
"c39","d16",1.7,56
"c39","d16",3.1,49
"c39","d20",3,65
"c39","d20",2.8,52
"c39","d20",2.8,41
"c39","d20",2.7,51
"c39","d20",2.6,41
"c39","d20",2.8,45
"c39","d20",2.6,51
"c39","d20",2.6,45
"c39","d20",2.6,61
"c39","d20",3.5,42
"c39","d21",2.2,54
"c39","d21",1.8,59
"c39","d21",1.6,66
"c39","d21",2.1,54
"c39","d21",3.3,45
"c39","d21",3.8,49
"c39","d21",3.2,49
"c39","d21",3.6,55
"c39","d21",4.2,49
"c39","d21",1.6,68
"c52","d16",2,58
"c52","d16",2.4,55
"c52","d16",1.9,67
"c52","d16",2.8,61
"c52","d16",1.7,67
"c52","d16",3.2,68
"c52","d16",2,58
"c52","d16",2.2,63
"c52","d16",2.2,56
"c52","d16",2.2,72
"c52","d20",4,52
"c52","d20",2.8,70
"c52","d20",3.1,57
"c52","d20",4.2,58
"c52","d20",3.7,47
"c52","d20",3,56
"c52","d20",2.2,72
"c52","d20",2.3,63
"c52","d20",3.8,54
"c52","d20",2,60
"c52","d21",1.5,78
"c52","d21",1.4,75
"c52","d21",1.7,70
"c52","d21",1.3,84
"c52","d21",1.7,71
"c52","d21",1.6,72
"c52","d21",1.4,62
"c52","d21",1,68
"c52","d21",1.5,66
"c52","d21",1.6,72
