"","area","home.value","income","crime","open.space","district","x","y"
"0",0.309441,80.467003,19.531,15.72598,2.850747,"0",8.82721846920391,14.3690760189121
"1",0.259329,44.567001,21.232,18.801754,5.29672,"1",8.33265837272492,14.031624006324
"2",0.192468,26.35,15.956,30.626781,4.534649,"2",9.0122654093717,13.8197190799691
"3",0.083841,33.200001,4.477,32.38776,0.394427,"3",8.46080089330744,13.7169621702281
"4",0.488888,23.225,11.252,50.73151,0.405664,"4",9.00798212749769,13.2963664305373
"5",0.283079,28.75,16.028999,26.066658,0.563075,"5",9.7399258280012,13.4746327432107
"6",0.257084,75,8.438,0.178269,0,"6",8.11875006062873,13.2957038670535
"7",0.204954,37.125,11.337,38.425858,3.483478,"7",8.49648817195755,13.4026123619724
"8",0.500755,52.599998,17.586,30.515917,0.527488,"8",9.63079344250898,12.9427249317654
"9",0.246689,96.400002,13.598,34.000835,1.548348,"9",10.3663827098011,13.0018893602531
"10",0.041012,19.700001,7.467,62.275448,0,"10",8.66973541285705,12.9801215612332
"11",0.035769,19.9,10.048,56.705669,3.157895,"11",8.54499558964178,12.9531256839822
"12",0.034377,41.700001,9.549,46.716129,0,"12",8.34922348285106,12.9960941411023
"13",0.060884,42.900002,9.963,57.066132,0.477104,"13",8.29270151692096,12.8637076882169
"14",0.106653,18,9.873,48.585487,0.174325,"14",8.97346220607009,12.7415867403804
"15",0.093154,18.799999,7.625,54.838711,0.533737,"15",8.65586633556042,12.6273158087541
"16",0.102087,41.75,9.798,36.868774,0.448232,"16",10.5286211927771,12.647475597059
"17",0.055494,60,13.185,43.962486,24.998068,"17",8.48791812572519,12.5453424715901
"18",0.061342,30.6,11.618,54.521965,0.111111,"18",8.31236770336563,12.6667208132631
"19",0.444629,81.266998,31.07,0.223797,5.318607,"19",10.1905815261794,12.2568991492886
"20",0.699258,19.975,10.655,40.074074,1.643756,"20",7.84742361898044,12.0849973220228
"21",0.192891,30.450001,11.709,33.705048,4.539754,"21",9.65524436749837,12.462765864103
"22",0.24712,47.733002,21.155001,20.048504,0.532632,"22",10.6713811081586,12.2915713176661
"23",0.192226,53.200001,14.236,38.297871,0.62622,"23",8.42074406827308,12.3180134342877
"24",0.17168,17.9,8.461,61.299175,0,"24",8.93875182554943,12.3805098263868
"25",0.107298,20.299999,8.085,40.969742,1.238288,"25",9.25092113076552,12.4137835163391
"26",0.137802,34.099998,10.822,52.79443,19.368099,"26",9.73700414845506,12.1496928402194
"27",0.174773,22.85,7.856,56.919785,0.509305,"27",9.29797578012818,11.9777879247044
"28",0.085972,32.5,8.681,60.750446,0,"28",8.97786150244057,11.9940120724078
"29",0.104355,22.5,13.906,68.892044,1.63878,"29",8.68871949319255,11.9387183555313
"30",0.117409,31.799999,16.940001,17.677214,3.936443,"30",6.89248232599374,11.9141509579884
"31",0.18558,40.299999,18.941999,19.145592,2.221022,"31",10.7637835211025,11.8444310476504
"32",0.087472,23.6,9.918,41.968163,0,"32",9.78387603987115,11.9227081645796
"33",0.226594,28.450001,14.948,23.974028,3.029087,"33",7.33943071762272,11.6285451215589
"34",0.175453,27,12.814,39.175053,4.220401,"34",9.66824896369039,11.6925412071689
"35",0.17813,36.299999,18.739,14.305556,6.773331,"35",6.72883754771933,11.634364976122
"36",0.121154,43.299999,17.017,42.445076,4.839273,"36",8.91236285571972,11.6303105430835
"37",0.053881,22.700001,11.107,53.710938,0,"37",9.21052733540375,11.6598388500064
"38",0.174823,39.599998,18.476999,19.100863,0,"38",6.22194293389814,11.4025135789241
"39",0.302908,61.950001,29.833,16.241299,6.45131,"39",10.4924925720167,11.5071972825694
"40",0.137024,42.099998,22.207001,18.905146,0.293317,"40",10.9535874363765,11.4792458686374
"41",0.266541,44.333,25.872999,16.49189,1.792993,"41",7.1100509053909,11.2954388928652
"42",0.060241,25.700001,13.38,36.663612,0,"42",9.21433028039348,11.4327717893683
"43",0.173337,33.5,16.961,25.962263,1.463993,"43",9.64190443788293,11.3910362122625
"44",0.256431,27.733,14.135,29.028488,1.006118,"44",8.91034047382784,11.1486390785697
"45",0.124728,76.099998,18.323999,16.530533,9.683953,"45",6.42338503158334,11.2192380933983
"46",0.245249,42.5,18.950001,27.822861,0,"46",10.935302271774,11.0100306636646
"47",0.069762,26.799999,11.813,26.645266,4.884389,"47",9.25195740283379,11.1812538736994
"48",0.205964,35.799999,18.796,22.541491,0.259826,"48",9.49214353036003,11.0149611065119
