"dist","climb","time"
2.5,650,16.083
6,2500,48.35
6,900,33.65
7.5,800,45.6
8,3070,62.267
8,2866,73.217
16,7500,204.617
6,800,36.367
5,800,29.75
6,650,39.75
28,2100,192.667
5,2000,43.05
9.5,2200,65
6,500,44.133
4.5,1500,26.933
10,3000,72.25
14,2200,98.417
3,350,78.65
4.5,1000,17.417
5.5,600,32.567
3,300,15.95
3.5,1500,27.9
6,2200,47.633
2,900,17.933
3,600,18.683
4,2000,26.217
6,800,34.433
5,950,28.567
6.5,1750,50.5
5,500,20.95
10,4400,85.583
6,600,32.383
18,5200,170.25
4.5,850,28.1
20,5000,159.833
