"Speed","Run","Expt"
850,"1","1"
740,"2","1"
900,"3","1"
1070,"4","1"
930,"5","1"
850,"6","1"
950,"7","1"
980,"8","1"
980,"9","1"
880,"10","1"
1000,"11","1"
980,"12","1"
930,"13","1"
650,"14","1"
760,"15","1"
810,"16","1"
1000,"17","1"
1000,"18","1"
960,"19","1"
960,"20","1"
960,"1","2"
940,"2","2"
960,"3","2"
940,"4","2"
880,"5","2"
800,"6","2"
850,"7","2"
880,"8","2"
900,"9","2"
840,"10","2"
830,"11","2"
790,"12","2"
810,"13","2"
880,"14","2"
880,"15","2"
830,"16","2"
800,"17","2"
790,"18","2"
760,"19","2"
800,"20","2"
880,"1","3"
880,"2","3"
880,"3","3"
860,"4","3"
720,"5","3"
720,"6","3"
620,"7","3"
860,"8","3"
970,"9","3"
950,"10","3"
880,"11","3"
910,"12","3"
850,"13","3"
870,"14","3"
840,"15","3"
840,"16","3"
850,"17","3"
840,"18","3"
840,"19","3"
840,"20","3"
890,"1","4"
810,"2","4"
810,"3","4"
820,"4","4"
800,"5","4"
770,"6","4"
760,"7","4"
740,"8","4"
750,"9","4"
760,"10","4"
910,"11","4"
920,"12","4"
890,"13","4"
860,"14","4"
880,"15","4"
720,"16","4"
840,"17","4"
850,"18","4"
850,"19","4"
780,"20","4"
890,"1","5"
840,"2","5"
780,"3","5"
810,"4","5"
760,"5","5"
810,"6","5"
790,"7","5"
810,"8","5"
820,"9","5"
850,"10","5"
870,"11","5"
870,"12","5"
810,"13","5"
740,"14","5"
810,"15","5"
940,"16","5"
950,"17","5"
800,"18","5"
810,"19","5"
870,"20","5"
