"rate","decay"
84,"1"
84.7,"1"
84.7,"1"
85.1,"1"
85.2,"1"
85.2,"1"
86,"1"
86.1,"1"
86.7,"1"
86.9,"1"
87.2,"1"
87.8,"1"
87.9,"1"
20.5,"rho"
22.1,"rho"
22.3,"rho"
22.3,"rho"
22.6,"rho"
24,"rho"
8,"pi"
9,"pi"
9.9,"pi"
10,"pi"
10.7,"pi"
11.7,"pi"
11.8,"pi"
13,"e"
16,"e"
17,"e"
17.4,"e"
17.6,"e"
18.2,"e"
18.2,"e"
18.3,"e"
18.4,"e"
18.9,"e"
19,"e"
19.1,"e"
20.4,"e"
22.4,"e"
12.9,"mu"
15,"mu"
17.1,"mu"
17.4,"mu"
17.5,"mu"
17.6,"mu"
17.7,"mu"
17.7,"mu"
17.8,"mu"
18,"mu"
18.2,"mu"
18.3,"mu"
18.3,"mu"
18.8,"mu"
19.4,"mu"
21,"mu"
22,"mu"
22,"mu"
22.4,"mu"
35,"mu"
